Profile
Address,Avenue Nestle 55
City,Vevey
State,-
Country,Switzerland
Phone,41 21 924 11 11
Website,http://www.nestle.com
Sector,Consumer Defensive
Industry,Packaged Foods
Full Time Employees,291000

Key Executives
Name,Title,Pay,Exercised,Year Born
Dr. Ulf Mark Schneider,"CEO, Member of Exec. Board & Director",-,0,1965
Mr. François-Xavier  Roger,"Exec. VP, CFO & Member of Exec. Board",-,0,1962
Mr. Chris  Johnson,"Exec. VP, CEO of Zone Asia, Oceania & Sub-Saharan Africa and Member of the Exec. Board",-,0,1961
Mr. Laurent  Freixe,"Exec. VP, CEO of Zone Americas & Member of Exec. Board",-,0,1962
Mr. Patrice  Bula,"Exec. VP, Head of Strategic Bus. Unit, Mktg, Sales & Nespresso and Member of Exec. Board",-,0,1956
