Profile
Address,Eaton House
City,Dublin
State,-
Country,Ireland
Phone,353 1 637 2900
Website,http://www.eaton.com
Sector,Industrials
Industry,Specialty Industrial Machinery
Full Time Employees,101000

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. Craig  Arnold,Chairman & CEO,3510439,0,1960
Mr. Richard H. Fearon,Vice Chairman and Chief Financial & Planning Officer,2123063,0,1956
Mr. Uday  Yadav,Pres & COO of Electrical Sector,1580603,0,1964
Mr. Ken D. Semelsberger,"Principal Accounting Officer, Sr. VP & Controller",-,0,1962
Mr. Ramanath  Ramakrishnan,Chief Technology Officer & Exec. VP,-,0,
