Profile
Address,"The Base, Tower C"
City,Schiphol
State,-
Country,Netherlands
Phone,31 888 87 01 00
Website,http://www.grandvision.com
Sector,Consumer Cyclical
Industry,Specialty Retail
Full Time Employees,39981

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. Stephan  Borchert,CEO & Member of Management Board,1438845,0,1969
Mr. Willem  Eelman,CFO & Member of Management Board,624401,0,1964
Thelke  Gerdes,Investor Relations Director,-,0,
