Profile
Address,Iveagh Court
City,Dublin
State,-
Country,Ireland
Phone,353 1 254 6200
Website,http://www.allegion.com
Sector,Industrials
Industry,Security & Protection Services
Full Time Employees,11000

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. David D. Petratis,"Chairman, CEO & Pres",-,0,1958
Mr. Patrick S. Shannon,CFO & Sr. VP,-,0,1963
Mr. Jeffrey N. Braun,"Sr. VP, Sec. & Gen. Counsel",-,0,1960
Mr. Timothy P. Eckersley,Sr. VP of the Americas Region,-,0,1962
Ms. Lucia Veiga Moretti,Sr. VP of EMEIA,-,0,1965
