ticker,index_ticker,comment
600159.SS,000001.SS,Beijing Dalong Weiye Real Estate Development Co Ltd
600405.SS,000001.SS,Beijing Dynamic Power Co Ltd
600658.SS,000001.SS,Beijing Electronic Zone Investment and Development Co Ltd
600037.SS,000001.SS,Beijing Gehua CATV Network Co Ltd
603588.SS,000001.SS,"Beijing GeoEnviron Engineering & Technology, Inc.."
603616.SS,000001.SS,"BEIJING HANJIAN HESHAN PIPELINE CO.,LTD."
601101.SS,000001.SS,Beijing Haohua Energy Resource Co Ltd
600860.SS,000001.SS,Beijing Jingcheng Machinery Electric Company Limited
600578.SS,000001.SS,"BEIJING JINGNENG POWER CO., LTD."
601908.SS,000001.SS,Beijing Jingyuntong Technology Co Ltd
603590.SS,000001.SS,"Beijing Konruns Pharmaceutical Co.,Ltd."
601588.SS,000001.SS,Beijing North Star Co Ltd
603778.SS,000001.SS,"Beijing Qianjing Landscape Co., Ltd."
600429.SS,000001.SS,Beijing Sanyuan Foods Co Ltd
601126.SS,000001.SS,Beijing Sifang Automation Co Ltd
600410.SS,000001.SS,Beijing Teamsun Technology Co Ltd
600161.SS,000001.SS,Beijing Tiantan Biological Products Co Ltd
600085.SS,000001.SS,Beijing Tongrentang Co Ltd
603516.SS,000001.SS,"Beijing Tricolor Technology Co., Ltd."
603613.SS,000001.SS,"Beijing United Information Technology Co., Ltd."
600266.SS,000001.SS,Beijing Urban Construction Investment & Development Co Ltd
600861.SS,000001.SS,"BEIJING URBAN-RURAL COMMERCIAL (GROUP) CO., LTD."
600246.SS,000001.SS,"Beijing Vantone Real Estate Co.,Ltd"
603138.SS,000001.SS,"Beijing Vastdata Technology Co., Ltd."
600055.SS,000001.SS,"Beijing Wandong Medical Technology Co., Ltd."
600485.SS,000001.SS,"Beijing Xinwei Telecom Technology Group Co., Ltd."
603267.SS,000001.SS,"Beijing Yuanliu Hongyuan Electronic Technology Co., Ltd."
600361.SS,000001.SS,Beijinghualian Hypermarket Co Ltd
600166.SS,000001.SS,Beiqi Foton Motor Co Ltd
603068.SS,000001.SS,Beken Corporation
600681.SS,000001.SS,"Bestsun Energy Co., Ltd."
600640.SS,000001.SS,"Besttone Holding Co.,Ltd"
603596.SS,000001.SS,"Bethel Automotive Safety Systems Co., Ltd"
600980.SS,000001.SS,"BGRIMM Technology Co., Ltd."
600510.SS,000001.SS,Black Peony (Group) Co Ltd
600299.SS,000001.SS,Bluestar Adisseo Company
600960.SS,000001.SS,"Bohai Automotive Systems CO., LTD."
603167.SS,000001.SS,"Bohai Ferry Co., Ltd."
603727.SS,000001.SS,BOMESC Offshore Engineering Company Limited
603936.SS,000001.SS,"Bomin Electronics Co., Ltd."
600597.SS,000001.SS,Bright Dairy & Food Co Ltd
600289.SS,000001.SS,Bright Oceans Inter-Telecom Corp
600708.SS,000001.SS,"BRIGHT REAL ESTATE GROUP CO.,LIMITED"
601339.SS,000001.SS,"Bros Eastern Co., Ltd."
600258.SS,000001.SS,"BTG Hotels (Group) Co., Ltd."
600455.SS,000001.SS,"But'one Information Corporation, Xi'an"
601108.SS,000001.SS,"CAITONG SECURITIES CO.,LTD."
601311.SS,000001.SS,Camel Group Co Ltd
600230.SS,000001.SS,"Cangzhou Dahua Co.,Ltd"
603106.SS,000001.SS,"Cashway Technology Co., Ltd."
600180.SS,000001.SS,"CCS Supply Chain Management Co., Ltd."
601016.SS,000001.SS,CECEP Wind-Power Corporation
603098.SS,000001.SS,"CENTER INTERNATIONAL GROUP CO.,LTD."
601375.SS,000001.SS,"CENTRAL CHINA SECURITIES CO., LTD."
600877.SS,000001.SS,"Cetc Energy Joint-Stock Co.,Ltd."
603615.SS,000001.SS,"Chahua Modern Housewares Co.,Ltd."
600697.SS,000001.SS,Chang Chun Eurasia Group Co Ltd
603099.SS,000001.SS,"Changbai Mountain Tourism Co.,Ltd"
600742.SS,000001.SS,"Changchun FAWAY Automobile Components Co., Ltd"
600333.SS,000001.SS,Changchun Gas Co Ltd
600215.SS,000001.SS,Changchun Jingkai (Group) Co Ltd
600856.SS,000001.SS,Changchun Sinoenergy Corporation
600148.SS,000001.SS,Changchun Yidong Clutch Co Ltd
600496.SS,000001.SS,"Changjiang & Jinggong Steel Building (Group) Co.,Ltd"
600757.SS,000001.SS,"Changjiang Publishing & Media Co.,Ltd"
603035.SS,000001.SS,"Changshu Automotive Trim Co., Ltd."
601700.SS,000001.SS,Changshu Fengfan Power Equipment Co Ltd
600525.SS,000001.SS,Changyuan Group Ltd.
603698.SS,000001.SS,"Changzheng Engineering Co., LTD"
603655.SS,000001.SS,"Changzhou Langbo Seal Polytron Technologies Co., Ltd."
603819.SS,000001.SS,Changzhou Shenli Electrical Machine Incorporated Company
603158.SS,000001.SS,"Changzhou Tenglong Auto Parts Co.,Ltd."
601799.SS,000001.SS,Changzhou Xingyu Automotive Lighting Systems Co Ltd
600880.SS,000001.SS,Chengdu B-ray Media Co Ltd
603053.SS,000001.SS,"Chengdu Gas Group Co.,Ltd."
603809.SS,000001.SS,"CHENGDU HAONENG TECHNOLOGY CO., LTD."
600353.SS,000001.SS,Chengdu Xuguang Electronics Co Ltd
600711.SS,000001.SS,"Chengtun Mining Group Co., Ltd"
600988.SS,000001.SS,"Chifeng Jilong Gold Mining Co.,Ltd."
603222.SS,000001.SS,"Chimin Health Management Co., Ltd."
600879.SS,000001.SS,"China Aerospace Times Electronics Co.,Ltd."
601068.SS,000001.SS,China Aluminum International Engineering Corporation Limited
600195.SS,000001.SS,China Animal Husbandry Industry Co Ltd
601965.SS,000001.SS,"China Automotive Engineering Research Institute Co., Ltd."
600372.SS,000001.SS,"CHINA AVIONICS SYSTEMS CO.,LTD."
603220.SS,000001.SS,"China Bester Group Telecom CO.,LTD."
603060.SS,000001.SS,"China Building Material Test & Certification Group Co.,Ltd."
601998.SS,000001.SS,China Citic Bank Corporation Limited
601898.SS,000001.SS,China Coal Energy Co Ltd
601800.SS,000001.SS,China Communications Construction Company Limited
601939.SS,000001.SS,China Construction Bank
600150.SS,000001.SS,China CSSC Holdings Limited
600138.SS,000001.SS,China CYTS Tours Holding Co Ltd
603018.SS,000001.SS,"China DesignGroupCo.,Ltd"
600115.SS,000001.SS,China Eastern Airlines Corp Ltd
600675.SS,000001.SS,China Enterprise Co Ltd
601818.SS,000001.SS,China Everbright Bank Co Ltd
600977.SS,000001.SS,"CHINA FILM CO., LTD."
601106.SS,000001.SS,China First Heavy Industries Co Ltd
600340.SS,000001.SS,"China Fortune Land Development Co., Ltd."
601881.SS,000001.SS,"China Galaxy Securities Co., Ltd."
600068.SS,000001.SS,China Gezhouba Group Co Ltd
600297.SS,000001.SS,"China Grand Automotive Services Co., Ltd."
601118.SS,000001.SS,China Hainan Rubber Industry Group Co Ltd
600730.SS,000001.SS,China Hi-Tech Group Co Ltd
601888.SS,000001.SS,China International Travel Service Co Ltd
600176.SS,000001.SS,"CHINA JUSHI CO., LTD."
603505.SS,000001.SS,"China Kings Resources Group Co., Ltd."
601628.SS,000001.SS,China Life Insurance Company Limited
603967.SS,000001.SS,"CHINA MASTER LOGISTICS CO., LTD."
600056.SS,000001.SS,"China Meheco Co.,Ltd."
600036.SS,000001.SS,China Merchants Bank Co Ltd
601872.SS,000001.SS,"China Merchants Energy Shipping Co., Ltd."
600999.SS,000001.SS,China Merchants Securities Co Ltd
600016.SS,000001.SS,China Minsheng Banking Corp Ltd
603993.SS,000001.SS,"China Molybdenum Co., Ltd."
601117.SS,000001.SS,China National Chemical Engineering Co Ltd
600511.SS,000001.SS,China National Medicines Corp Ltd
601985.SS,000001.SS,"China National Nuclear Power Co.,Ltd."
600536.SS,000001.SS,China National Software & Service Co Ltd
600111.SS,000001.SS,"China Northern Rare Earth (Group) High-Tech Co.,Ltd"
601611.SS,000001.SS,China Nuclear Engineering Corporation Limited
601808.SS,000001.SS,China Oilfield Services Limited
601601.SS,000001.SS,China Pacific Insurance (Group) Co Ltd
600028.SS,000001.SS,China Petroleum & Chemical Corporation
600339.SS,000001.SS,China Petroleum Engineering Corporation
601949.SS,000001.SS,"China Publishing & Media Holdings Co., Ltd."
601186.SS,000001.SS,China Railway Construction Co Ltd
601390.SS,000001.SS,China Railway Group Limited
600528.SS,000001.SS,China Railway Hi-tech Industry Corporation Limited
600125.SS,000001.SS,China Railway Tielong Container Logistics Co Ltd
600636.SS,000001.SS,"CHINA REFORM CULTURE HOLDINGS CO., LTD."
600062.SS,000001.SS,"CHINA RESOURCES DOUBLE-CRANE PHARMACEUTICAL CO.,LTD."
601698.SS,000001.SS,"China Satellite Communications Co.,Ltd."
601858.SS,000001.SS,China Science Publishing & Media Ltd.
601066.SS,000001.SS,"China Securities Co., Ltd."
600654.SS,000001.SS,"China Security Co., Ltd"
601088.SS,000001.SS,China Shenhua Energy Co Ltd
601989.SS,000001.SS,China Shipbuilding Industry Co Ltd
600764.SS,000001.SS,China Shipbuilding Industry Group and Marine Defense Information Against Limited
