ticker,index_ticker,comment
COF,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
COG,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
COO,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
COP,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
COST,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
COTY,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
CPB,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
CPRI,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
CPRT,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
CRM,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
CSCO,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
CSX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
CTAS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
CTL,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
CTSH,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
CTVA,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
CTXS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
CVS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
CVX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
CXO,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
D,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DAL,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DD,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DE,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DFS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DG,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DGX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DHI,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DHR,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DIS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DISCA,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DISCK,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DISH,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DLR,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DLTR,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DOV,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DOW,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DRE,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
DRI,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
