,current_ratio,div_yield,enterprise_to_ebitda,enterprise_to_sales,eps,forward_eps,forward_pe,industry,market_cap,peg_ratio,quick_ratio,sector,ticker,trailing_pe
50,1.26,,-58.312,18.182,-1.17,-0.2,-298.32,Software—Infrastructure,8635435008.0,,1.097,Technology,PLAN,
51,1.419,,53.492,8.354,0.55,1.46,47.54,Software—Infrastructure,4562930176.0,2.83,1.304,Technology,MIME,126.43
52,5.148,,-111.594,99.547,-2.92,-0.28,-1079.3,Software—Application,89482895360.0,5277.43,4.993,Technology,SNOW,
53,4.956,,-871.777,16.582,-1.56,0.68,159.94,Software—Infrastructure,6352551936.0,24.88,4.886,Technology,BL,
54,1.617,0.0162,16.335,5.028,1.14,3.41,16.1,Software—Application,14916576256.0,1.88,1.5470000000000002,Technology,OTEX,48.15
55,0.908,,-931.058,10.639,-5.18,7.23,64.02,Software—Infrastructure,45034332160.0,2.75,0.809,Technology,PANW,
56,3.237,,-117.936,11.32,-2.18,0.46,191.47,Software—Application,4973001216.0,10.64,2.948,Technology,QTWO,
57,1.203,,-41.004,7.129,-0.72,0.15,130.67,Software—Application,2891254784.0,-109.62,1.133,Technology,MNTV,
58,3.892,,643.096,12.53,3.91,0.43,276.78,Software—Application,4119347200.0,35.76,3.414,Technology,APPF,30.45
59,1.717,,30.15,10.963,1.67,3.17,36.96,Software—Infrastructure,4563173888.0,4.2,1.6360000000000001,Technology,QLYS,69.99
60,1.78,,92.146,5.222,-0.23,1.01,25.53,Software—Infrastructure,3936338176.0,3.76,1.6680000000000001,Technology,BOX,
61,1.044,,348.122,14.153,-0.16,3.55,76.59,Software—Application,67432439808.0,4.86,0.978,Technology,WDAY,
62,1.379,,-60.94,5.104,-3.87,0.45,71.89,Health Information Services,803680704.0,14.61,1.169,Healthcare,TRHC,
63,1.746,,-168.545,16.141,-1.93,1.06,116.08,Software—Application,14598695936.0,8.29,1.596,Technology,ZEN,
64,0.769,,-172.287,33.542,-2.63,0.61,402.57,Software—Application,18025058304.0,-68.74,0.712,Technology,COUP,
