GOOGL
MSFT
ANET
ORCL
AMZN
MDB
VMW
BABA
RXT
HPE
LUMN
KC
AKAM
CSCO
TEAM
MSTR
IBM
NOW
ADBE
SHOP
HUBS
SPLK
CTXS
FIVN
TWLO
NTAP
PSTG
FSLY
CRM
DOMO
APPN
SAP
ASAN
DOCU
NET
WK
SPT
AVLR
ESTC
DDOG
PAYC
PCTY
SMAR
ZS
EVBG
INTU
CRWD
DBX
VEEV
ZM
PLAN
MIME
SNOW
BL
OTEX
PANW
QTWO
MNTV
APPF
QLYS
BOX
WDAY
TRHC
ZEN
COUP
