model-1601030665,1601030665.339,0.39,0.2508,0.53,0.2549
model-1601030665,1601030665.359,0.52,0.2588,0.53,0.2494
model-1601030665,1601030665.38,0.43,0.2572,0.53,0.2493
model-1601030665,1601030665.4,0.43,0.2526,0.53,0.2496
model-1601030665,1601030665.421,0.42,0.2507,0.47,0.2502
model-1601030665,1601030665.443,0.52,0.2496,0.47,0.2512
model-1601030665,1601030665.463,0.53,0.2492,0.47,0.2526
model-1601030665,1601030665.484,0.56,0.2468,0.47,0.2566
model-1601030665,1601030665.504,0.35,0.2716,0.47,0.2533
model-1601030665,1601030665.525,0.39,0.2602,0.47,0.2511
model-1601030665,1601030665.547,0.45,0.2519,0.47,0.2501
model-1601030665,1601030665.567,0.51,0.2499,0.53,0.2497
model-1601030665,1601030665.588,0.5,0.25,0.53,0.2496
model-1601030665,1601030665.608,0.55,0.249,0.53,0.2494
model-1601030665,1601030665.629,0.45,0.2513,0.53,0.2494
model-1601030665,1601030665.651,0.52,0.2499,0.53,0.2494
model-1601030665,1601030665.671,0.51,0.2503,0.53,0.2494
model-1601030665,1601030665.692,0.46,0.2513,0.53,0.2495
model-1601030665,1601030665.712,0.58,0.2485,0.53,0.2495
model-1601030665,1601030665.733,0.48,0.2506,0.53,0.2495
model-1601030665,1601030665.755,0.58,0.2483,0.53,0.2494
model-1601030665,1601030665.775,0.45,0.2513,0.53,0.2494
model-1601030665,1601030665.796,0.45,0.2514,0.53,0.2494
model-1601030665,1601030665.816,0.45,0.2512,0.53,0.2495
model-1601030665,1601030665.837,0.51,0.2499,0.53,0.2495
model-1601030665,1601030665.859,0.53,0.2495,0.53,0.2495
model-1601030665,1601030665.88,0.46,0.2506,0.53,0.2495
model-1601030665,1601030665.9,0.47,0.2504,0.53,0.2495
model-1601030665,1601030665.92,0.6,0.2486,0.53,0.2494
model-1601030665,1601030665.941,0.47,0.2505,0.53,0.2494
model-1601030665,1601030665.963,0.53,0.2497,0.53,0.2494
model-1601030665,1601030665.983,0.43,0.251,0.53,0.2495
model-1601030665,1601030666.004,0.47,0.2501,0.53,0.2497
model-1601030665,1601030666.024,0.58,0.2495,0.54,0.2497
model-1601030665,1601030666.044,0.58,0.2495,0.53,0.2496
model-1601030665,1601030666.067,0.51,0.2498,0.53,0.2495
model-1601030665,1601030666.087,0.51,0.2498,0.53,0.2494
model-1601030665,1601030666.108,0.47,0.2503,0.53,0.2495
model-1601030665,1601030666.128,0.58,0.249,0.53,0.2493
model-1601030665,1601030666.149,0.5,0.2499,0.53,0.2492
model-1601030665,1601030666.171,0.47,0.2498,0.53,0.2491
model-1601030665,1601030666.192,0.49,0.2498,0.53,0.249
model-1601030665,1601030666.212,0.44,0.2509,0.53,0.2492
model-1601030665,1601030666.233,0.48,0.2496,0.53,0.2493
model-1601030665,1601030666.253,0.5,0.2494,0.56,0.2493
