Profile
Address,Stonemason's Way
City,Dublin
State,-
Country,Ireland
Phone,353 1 404 1000
Website,http://www.crh.com
Sector,Basic Materials
Industry,Building Materials
Full Time Employees,80300

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. Albert Jude Manifold,CEO & Exec. Director,-,0,1963
Mr. Finbarr Senan Murphy,Group Fin. Director & Exec. Director,-,0,1969
Mr. Tom  Holmes,Head of Investor Relations,-,0,
Mr. Edwin  Bouwman,Chief HR Officer,-,0,
Mr. Henry  Morris,MD of Materials - Europe and Regional Director for Switzerland Finland & The Baltic Region,-,0,1954
