Profile
Address,Kings Place
City,London
State,-
Country,United Kingdom
Phone,-
Website,http://www.rolls-royce.com
Sector,Industrials
Industry,Aerospace & Defense
Full Time Employees,51700

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. D. Warren A. East,CEO & Exec. Director,2209000,0,1962
Mr. Stephen Wayne Daintith FCA,CFO & Exec. Director,1457000,0,1965
Mr. Paul  Stein,Chief Technology Officer,-,0,
Jennifer  Ramsey,Head of Investor Relations,-,0,
Mr. Mark  Gregory,Gen. Counsel,-,0,
