Profile
Address,1 Grand Canal Square
City,Dublin
State,-
Country,Ireland
Phone,353 1 646 2000
Website,http://www.accenture.com
Sector,Technology
Industry,Information Technology Services
Full Time Employees,505000

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. David P. Rowland,Exec. Chairman & Advisor to CEO,3417656,0,1961
Ms. Julie T. Spellman Sweet,CEO & Director,2749411,0,1967
Ms. Kathleen R. McClure,Chief Financial Officer,1830074,0,1965
Mr. Johan G. Deblaere,COO & Chief Exec. of Europe,-,0,1962
Mr. Richard P. Clark,Chief Accounting Officer & Corp. Controller,-,0,1961
