Profile
Address,Unit 1201-1203 APEC Plaza
City,Kowloon
State,-
Country,Hong Kong
Phone,-
Website,http://www.crec.cn
Sector,Industrials
Industry,Engineering & Construction
Full Time Employees,282256

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. Zongyan  Zhang,Exec. Chairman,1150000,0,1963
Mr. Xian  Zhang,VP & Director,1120000,0,1961
Mr. Yun  Chen,CEO & Exec. Director,-,0,1963
Mr. Cui  Sun,CFO & Chief Accountant,-,0,1966
Mr. Tengqun  Yu,VP & Gen. Counsel,-,0,1970
