Profile
Address,"24-26, Boulevard d'Avranches"
City,Luxembourg City
State,-
Country,Luxembourg
Phone,352 4792 1
Website,http://corporate.arcelormittal.com
Sector,Basic Materials
Industry,Steel
Full Time Employees,191248

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. Lakshmi Nivas Mittal B.Com.,Chairman & CEO,4814000,0,1950
Mr. Aditya  Mittal,Pres & CFO,-,0,1977
Mr. Daniel  Fairclough,Head of Investor Relations & VP of Corp. Fin.,-,0,
Mr. Brian Edward Aranha,"EVP, Head of Strategy & CTO of R&D, CCM, Global Automotive, Communications & Corp.. Responsibility",-,0,1956
Paul  Weigh,Head of Media Relations,-,0,
