Profile
Address,North Park
City,Newcastle upon Tyne
State,-
Country,United Kingdom
Phone,-
Website,http://www.sage.com
Sector,Technology
Industry,Software—Application
Full Time Employees,12643

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. Stephen  Hare,"CEO, Interim COO & Exec. Director",2274000,0,1961
Mr. Daniel Blair Crump,Pres,1554000,0,1961
Mr. Jonathan Anton George Howell,CFO & Director,1218000,0,1963
Mr. Aaron  Harris,Chief Technology Officer,-,0,
Ms. Lauren  Wholley,Investor Relations Director,-,0,
