Profile
Address,"12C, rue Guillaume Kroll"
City,Luxembourg City
State,-
Country,Luxembourg
Phone,352 27 36 27 00
Website,http://www.aperam.com
Sector,Basic Materials
Industry,Steel
Full Time Employees,9600

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. Timoteo  Di Maulo,Chief Exec. Officer,-,0,1959
Mr. Sandeep  Jalan,Chief Financial Officer,-,0,1967
Mr. Thorsten  Zimmermann,Head of Investor Relations,-,0,
Mr. Bert  Lyssens,"Head of Sustainability, HR & Communications",-,0,1970
Ms. Vanisha  Mittal Bhatia,Chief Strategy Officer,-,0,1981
