Profile
Address,Het Overloon 1
City,Heerlen
State,-
Country,Netherlands
Phone,-
Website,http://www.dsm.com
Sector,Basic Materials
Industry,Specialty Chemicals
Full Time Employees,22174

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. Dimitri  de Vreeze,Co-CEO & Member of the Managing Board,1146000,0,1967
Ms. Geraldine  Matchett,Co-CEO & Member of the Managing Board,1152000,0,1972
Mr. Feike  Sijbesma,Honorary Chairman,1785000,0,1959
Ms. Helen  Mets,"EVP-Materials, Interim Pres of Resins and Functional Materials & Member of Exec. Committee",-,0,
Ms. Patricia  Malarkey,Chief Innovation Officer & Member of Exec. Committee,-,0,1965
