Profile
Address,5599 San Felipe
City,Houston
State,-
Country,United States
Phone,-
Website,http://www.slb.com
Sector,Energy
Industry,Oil & Gas Equipment & Services
Full Time Employees,105000

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. Olivier  Le Peuch,CEO & Director,3620254,92327,1964
Mr. Khaled  Al Mogharbel,Exec. VP of Operations,2529600,5432,1971
Mr. Patrick Arnold Henk Schorn,Exec. VP of Wells,2318782,0,1969
Ms. Hinda  Gharbi,Exec. VP of Reservoir & Infrastructure,2127193,3654,1971
Mr. Stephane  Biguet,Exec. VP & CFO,-,0,1969
