Profile
Address,Muhlenstrasse 26
City,Schaffhausen
State,-
Country,Switzerland
Phone,41 52 633 66 61
Website,http://www.te.com
Sector,Technology
Industry,Electronic Components
Full Time Employees,78000

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. Terrence R. Curtin C.P.A.,CEO & Director,2253403,7744153,1968
Mr. Heath A. Mitts,Exec. VP & CFO,1075571,0,1971
Mr. John S. Jenkins Jr.,Exec. VP &  Gen. Counsel,848242,1129200,1966
Mr. Kevin N. Rock,Pres of Industrial Solutions,1301110,2649371,1958
Mr. Steven T. Merkt,Pres of Transportation Solutions,1035163,2231957,1968
