Profile
Address,38/39 Fitzwilliam Square
City,Dublin
State,-
Country,Ireland
Phone,353 1 234 3136
Website,http://www.seagate.com
Sector,Technology
Industry,Computer Hardware
Full Time Employees,40500

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. Stephen J. Luczo,Exec. Chairman,381733,0,1957
Dr. William David Mosley,CEO & Director,2131366,0,1967
Mr. Gianluca  Romano,Exec. VP & CFO,709936,0,1969
Mr. Jeffrey D. Nygaard,"Exec. VP, Head of Operations, Products & Technology",1225498,0,1964
Ms. Katherine E. Schuelke,"Sr. VP, Chief Legal Officer & Company Sec.",732216,0,1963
